NORAD_CAT_ID,RCS
4359,0.0972
4360,6.0833
4361,15.8393
4363,0.1643
4366,0.003
4376,0.003
4377,1.4274
4383,0.6912
4384,0.7161
4385,0.7161
4386,0.7266
4387,0.7292
4388,0.7173
4389,0.7219
4390,0.7186
4392,5.0189
4393,7.7839
4400,0.05
4421,0.0186
4432,0.0181
4433,0.0547
4434,0.038
4435,0.0556
4436,0.1773
4437,0.0776
4438,0.043
4440,0.0951
4441,0.1627
4442,0.0205
4444,0.0187
4445,0.0437
4448,0.0323
4449,0.019
4450,0.0827
4451,0.0178
4452,0.0938
4453,0.0367
4454,0.0607
4458,0.038
4459,0.0616
4460,0.0497
4462,0.0339
4463,0.0759
4464,0.0428
4465,0.0898
4466,0.05
4467,0.2
4468,0.0181
4469,0.0472
4470,0.0046
4471,0.0226
4472,0.0357
4473,0.0213
4474,0.0335
4475,0.0858
4476,0.1099
4478,2.5135
4486,1.4605
4497,5.5443
4498,32.1272
4499,0.0277
4512,0.8849
4515,0.5956
4518,0.0383
4519,0.0504
4520,0.1112
4521,0.0314
4522,0.0266
4523,0.0515
4530,0.0557
4531,0.0244
4532,0.0119
4533,0.0095
4534,0.0201
4535,0.0065
4541,0.056
4543,0.124
4544,0.0195
4547,0.0139
4548,0.0166
4549,0.02
4550,0.0233
4551,0.0043
4552,0.03
4555,0.0129
4583,7.8738
4584,10.7562
4586,0.0172
4587,0.0006
4590,8.6361
4594,0.503
4601,0.0316
4602,0.4849
4603,0.085
4604,0.0473
4605,0.3692
4606,0.3789
4607,0.465
4608,0.43
4609,0.1613
4610,0.1864
4611,0.3222
4612,0.0913
4613,0.1395
4614,0.4919
4615,0.2146
4616,0.0194
4617,0.325
4618,0.0357
4619,0.0811
4620,0.0319
4621,0.062
4622,0.0771
4623,0.0576
4624,0.2754
4625,0.1139
4626,0.1087
4627,0.1249
4628,0.3443
4629,0.4401
4630,6.1413
4632,1.7009
4633,0.1414
4634,0.0773
4635,0.1222
4636,0.1592
4637,0.1906
4638,0.0662
4639,0.0653
4640,0.0819
4641,0.1925
4642,0.4584
4643,0.103
4644,0.1238
4645,0.0876
4646,0.0862
4647,0.0542
4648,0.021
4649,0.041
4650,0.0665
4651,0.0403
4652,0.0184
4653,0.032
4654,0.0558
4655,0.042
4656,0.1426
4658,0.0587
4659,0.0773
4660,0.3181
4661,0.0731
4662,0.013
4663,0.0679
4664,0.017
4665,0.1048
4666,0.1925
4667,0.0139
4668,0.0893
4669,0.0312
4670,0.086
4671,0.077
4672,0.0147
4673,0.026
4674,0.0853
4676,0.1408
4677,0.0524
4678,0.0358
4679,0.0514
4680,0.1461
4681,0.069
4682,0.1193
4683,0.0162
4684,0.1645
4685,0.1237
4686,0.0425
4687,0.2403
4688,0.0235
4689,0.0308
4698,0.0423
4699,0.0564
4703,0.0579
4704,0.134
4705,0.0142
4706,0.0547
4707,0.0391
4708,0.086
4709,0.036
4710,0.053
4711,0.0355
4712,0.0391
4715,0.068
4716,0.229
4717,0.0524
4718,0.0424
4719,0.4675
4720,0.0408
4722,2.594
4723,0.0243
4724,0.2484
4725,0.03
4726,0.0977
4727,0.0166
4728,0.181
4729,0.0152
4730,0.0547
4731,0.036
4733,0.036
4734,0.0649
4735,0.0078
4736,0.1205
4737,0.0957
4738,0.0507
4739,0.0494
4741,0.0736
4742,0.071
4743,0.1077
4744,0.169
4745,0.0682
4746,0.049
4748,0.0943
4749,0.097
4750,0.1391
4751,0.0739
4752,0.0935
4753,0.0778
4754,0.0613
4755,0.0827
4756,0.0391
4757,0.0397
4758,0.0836
4759,0.0436
4760,14.44
4764,0.051
4765,0.117
4766,0.0264
4767,0.1028
4768,0.0638
4769,0.0502
4770,0.108
4771,0.0571
4772,0.0663
4773,0.0892
4774,0.059
4775,0.0498
4776,0.0274
4777,0.0692
4778,0.0155
4789,0.7254
4790,0.7337
4797,0.501
4801,1.1186
4802,1.3917
4803,0.6543
4806,7.0066
4807,18.3265
4813,10.7521
4818,0.1014
4819,0.0648
4820,0.0933
4821,0.0537
4822,0.119
4823,0.0152
4824,0.0498
4825,0.0214
4826,0.0168
4827,0.1072
4828,0.0138
4839,0.0154
4840,0.0192
4841,0.028
4842,0.1133
4843,0.0415
4849,5.9943
4850,11.5069
4851,0.038
4852,0.041
4853,0.035
4854,0.037
4855,0.0517
4856,0.0244
4857,0.0089
4858,0.0849
4859,0.0187
4860,0.0702
4861,0.048
4862,0.0985
4863,0.058
4864,0.062
4865,0.0187
4866,0.0681
4867,0.052
4868,0.0138
4869,0.039
4870,0.0574
4871,0.0501
4876,0.0127
4877,0.0485
4880,0.0293
4881,9.7537
4882,15.1633
4887,0.0186
4888,0.0088
4889,0.0345
4890,0.0133
4894,0.0306
4895,0.0124
4896,0.1072
4897,0.017
4898,0.0926
4899,0.0746
4902,1.8141
