NORAD_CAT_ID,RCS,SOURCE
4773,0.09,9
4774,0.06,3
4776,0.029,13
4777,0.07,7
4778,0.015,15
4783,4.47,40
4784,4.85,47
4786,19.5,32
4789,0.74,13
4790,0.72,14
4793,2.72,57
4794,5.3,50
4799,3.45,57
4800,4.53,48
4814,6.39,51
4818,0.1,8
4819,0.07,14
4820,0.09,8
4821,0.07,7
4822,0.13,6
4823,0.035,15
4841,0.028,22
4842,0.12,9
4843,0.041,7
4851,0.039,12
4852,0.042,21
4853,0.035,17
4854,0.037,14
4855,0.05,13
4856,0.024,12
4857,0.047,16
4859,0.019,17
4861,0.048,14
4864,0.06,8
4867,0.047,7
4868,0.049,16
4871,0.049,13
4881,9.75,8
4882,15.6,34
4895,0.011,13
4902,1.81,5
4903,1.8,21
4907,0.004,3
4910,0.047,10
4911,0.05,13
4912,0.049,16
4913,0.048,11
4914,0.11,10
4917,0.05,11
4918,0.05,11
4919,0.027,22
4920,0.08,11
4921,0.046,9
4922,1.29,23
4928,0.12,10
4929,0.042,16
4932,0.049,14
4934,0.02,11
4935,0.03,18
4938,0.012,8
4942,0.039,22
4943,0.02,13
4945,0.06,7
4946,0.03,14
4948,0.1,16
4950,0.05,13
4951,0.06,21
4952,0.68,14
4953,0.95,31
4954,1.68,27
4964,6.28,48
4968,0.05,12
4970,0.025,14
4971,0.05,15
4973,0.041,21
4977,0.03,24
4979,0.018,13
4980,0.025,12
4982,0.033,13
4986,0.036,13
4987,0.05,8
4988,0.032,15
4989,0.036,14
4990,0.023,22
4991,0.041,15
4992,0.07,13
4993,0.013,16
4996,0.05,9
4997,0.025,14
4998,0.05,12
5000,0.08,9
5010,0.036,17
5011,0.017,17
5012,0.03,18
5013,0.09,12
5014,0.1,15
5015,0.13,14
5016,0.06,13
5017,0.36,13
5018,0.12,10
5019,0.05,10
5020,0.049,16
5024,0.035,20
5025,0.038,14
5026,0.035,19
5028,0.042,19
5036,0.045,18
5042,0.034,25
5050,1.44,22
5051,4.73,39
5052,0.41,19
5060,0.06,8
5061,0.05,12
5063,0.023,20
5066,0.022,17
5067,0.032,18
5076,0.039,13
5088,0.11,14
5091,0.13,17
5094,0.031,20
5097,0.09,10
5098,0.06,6
5103,0.035,18
5104,1.89,39
5105,3.08,47
5106,0.69,20
5117,5.87,54
5118,6.77,50
5126,0.88,17
5129,0.037,15
5144,0.047,19
5146,0.012,13
5149,0.046,15
5150,0.025,12
5151,0.019,16
5153,0.01,16
5154,0.046,20
5155,0.06,11
5156,0.047,14
5165,0.048,23
5174,2.21,36
5175,4.59,39
5180,2.98,49
5181,4.43,33
5183,0.039,18
5185,0.02,16
5187,0.06,11
5188,0.025,14
5189,0.013,9
5192,0.06,10
5197,0.047,15
5203,0.029,18
